original,ex_predicted
"Sonam to auction her clothes, bags for charity: Report",Sonam Kapoor is hailed as the diva that made the whole Hindi-movie industry more fashion conscious than ever before.
Anupam Kher gifts his mother a house in Shimla,"Happy to share, we have our 1st ever home in Shimla."
FIR filed against actor Parth Samthaan in molestation case,"Indian television actor Parth Samthaan, who became a household name, thanks to the success of his show Kaisi Yeh Yaariyan, is in deep trouble.A complaint of molestation has been lodged against the actor by a 20-year-old model."
Get back private sector's animal spirit: Uday Kotak to govt,"Mumbai, Mar 26 (PTI) Banker Uday Kotak has said the BJPs win in the recent state polls is positive for economic reforms and the government should now focus on re-activating ""animal spirits"" of the private sector to invest."
"Depression needs expression, not suppression: PM Modi","In the 30th edition of Mann Ki Baat, Prime Minister Narendra Modi addressed the nation for the first time after BJP's resounding success in Assembly elections 2017.Modi in his national radio address 'Mann Ki Baat' wished prosperity for the neighbouring country, recalling the common memories of Rabindranath Tagore shared by both India and Bangladesh."
Mid-air backheel assist sets up Ronaldo's long-range goal,"""We started off slowly, but the first goal gave our confidence a boost and the other goals came naturally,"" Ronaldo told Portuguese television.Portugal strengthened its hold on second place with 12 points, opening a gap over Hungary, which stayed with seven points in third.Switzerland earned a fifth win in as many matches after beating Latvia 1-0 to remain on top of the group with 15 points.Still stuck at the foot of the table, Andorra nevertheless savored the end to a losing streak that had lasted 58 competitive matches stretching over 11 years after drawing with Faroe Islands 0-0.LUKAKU RESCUES BELGIUMRomelu Lukaku saved Belgium's place at the top of Group H, snatching a 1-1 draw in Brussels after being frustrated all night by an unyielding Greece defense."
"My lions are hungry, don't go near them: Akhilesh to UP CM","It is my humble request to him to also take care of my peacocks,"" he said.Taking a jibe at the recent Shudhikaran of the CM's house, Akhilesh said he will take more effective steps for the same."
"1 killed, 14 injured as gunman open fires in a US nightclub","A gunfight broke out inside a crowded Cincinnati nightclub early Sunday, leaving one man dead and 15 others wounded after a dispute among several patrons escalated into a shootout, authorities said.No suspects were in custody by Sunday night in the shooting at the Cameo club, which has a history of gun violence, and police said there was no indication of any terrorism link.Cincinnati Police Chief Eliot Isaac said one of the wounded was in ""extremely critical condition,"" while a hospital spokeswoman said two victims were listed in critical condition.Police began receiving calls at 1:30 a.m. about gunshots at the club near the Ohio River east of downtown Cincinnati."
What are the new rules under the Finance Bill?,"The controverisal Finance Bill of 2017, that was introduced by Finance Minister Arun Jaitely as a Money Bill in the Lok Sabha, and gotten it passed with the majority the Bharatiya Janata Party enjoys in the lower house, was reintroduced today after the Rajya Sabha recommended five amendments to it."
"Development for all, appeasement of none in UP: Adityanath","In his first public speech in his parliamentary constituency, Gorakhpur, Yogi Adityanath showered lavish praise on Prime Minister Narendra Modi."
B'desh founder Mujibur Rahman's statue anti-Islam: ABMYF,"A fringe Muslim group in West Bengal has demanded the removal of a statue of ""Bangabandhu"" Sheikh Mujibur Rahman, the founder of Bangladesh from a government hostel in Kolkata.Terming the statue ""unethical and anti-Islamic"", the All Bengal Minority Youth Federation (ABMYF) has opposed the statue at the government run Baker hostel."
Genital mutilation woman's choice: Dawoodi Bohra leader,"Syedna Taher Fakruddin, religious leader of the Dawoodi Bohra community, has said that the decision of female genital mutilation should be left to the woman only after she becomes an adult.Fakruddin said that there should not be any compulsion on enforcing religious practices."
Will shift my film release to avoid clash with Aamir's: Dutt,"No surprises then that the star who makes his comeback with Bhushan Kumar & Sandeep Singh's Bhoomi wants the release date to be changed.The reason for Sanjay's insistence is that he doesn't want Bhoomi to clash with good friend Aamir Khan's next project Secret Superstar.Sanjay Dutt says, ""I know the kind of hard work and effort that goes into making a film."
Both Romeo and Juliet are welcome in Delhi: AAP Minister,"One symbolises divine love and the other material love,"" the city's tourism and culture minister said.Indian culture is known to embrace dissenting voices, he pointed out."
Kangana gifts herself 3-bedroom bungalow on birthday: Report,"After this, she will dive into the shooting of Manikarnika, based on the life of Rani Laxmibai, to be directed by eminent Telugu filmmaker Krish.Reportedly, Kangana Ranaut recently visited Vaishno Devi with her family to receive blessings for not just Manikarnika but also her new property.After the shooting of Manikarnika, Kangana Ranaut will begin work on her directorial debut."
Flipper taught by Warne got me Warner's wicket: Kuldeep,"(Dream-come-true, couldn't have asked for more: Kuldeep Yadav)He revealed that he has learnt a few tricks of the trade from the Aussie spin wizard Shane Warne and it was great to get his countryman with one of those."
"Indian Army considering to reduce its 'sahayaks' by 10,000","The move would come in the wake of the controversy over the tasks Indian Army sahayaks perform for officers and junior commissioned officers.Under the army's 'buddy's system, sahayak jawans are attached to officers and junior commissioned officers."
Censor Board demands removal of phrase Mann Ki Baat in film,"The Central Board of Film Certification headed by Pahlaj Nihalani has asked the makers of the film Sameer to delete the phrase 'Mann ki baat' from a dialogue in the film.The reason being that the phrase, as we all know it, is the name of the monthly radio address given to our country by Prime Minister Narendra Modi.In the last scene of Dakxin Chhara's film Sameer, after a series of twists, the actual identity of the lead character played by Subrat Dutta is revealed."
"Gilgit-Baltistan belongs to India, says British Parliament",The British Parliament passed a resolution rejecting Pakistan's position on the region in PoK.A motion was passed by the British parliamentarians announcing Gilgit-Baltistan as a legal and constitutional part of Jammu and Kashmir illegally occupied by Pakistan since 1947.The motion had been tabled in the British Parliament on March 23 by Bob Blackman of the Conservative Party.
"Gujarat female teacher shows porn to students, dances naked","She told them that they will be expelled from the school, which kept the students in fear.The teacher's misdemeanour came into light after one of her students complained about it to his parents.The students have even accused the teacher of taking them inside a room where she danced half-naked in front of them.Parents of the students were furious after they learnt about the teacher's lewd act."
Arnold slams Facebook troll insulting Special Olympics,"-@Schwarzeneggerpic.twitter.com/21JWeI1dKkWhile most of the comments the video received were encouraging and positive, one rather hateful remark made towards the athletes really riled up Arnold Schwarzenegger.The comment read, ""The Special Olympics make no sense."
Kejriwal to face trial in defamation case filed by Jaitley,"The accused have pleaded not guilty and trial is expected to commence on May 20.In December 2015, Jaitley filed a criminal complaint alleging that the Aam Aadmi Party leaders made defaming statements against him regarding his tenure as the Delhi District Cricket Association (DDCA) president from December 1999 to December 2013.?The criminal complaint for defamation has been filed against the six accused because they had given defamatory statements against Arun Jaitley on Twitter, Facebook and in the media,?"
Rajinikanth cancels Sri Lanka trip amid Tamil group protests,"As per a statement released by Lyca Productions, Rajinikanth was supposed to visit Jaffna to hand over keys built for Tamils by Gnanam Foundation.However, the fringe groups alleged that Lyca Productions is based in Lanka, and protested against Rajinikanth for the same.Over the years, Eelam is one issue that has spawned several heated debates across Tamil Nadu."
Tax dept summons Govinda for not paying dues worth ?70 lakh,"Mumbai, Mar 24 (PTI) Bollywood actor and former parliamentarian Govinda appeared before the tax department today following a summons to him for not paying service tax dues of around Rs 70 lakh."
IPS officer suspended for tweeting against Yogi govt in UP,"""In another tweet, Himanshu said, ""Why DGP office forcing officers to punish people in the name of caste?"
Bihar Dy CM Tejashwi dares Adityanath to ban liquor in UP,"Bihar's deputy chief minister Tejaswi Yadav on Saturday dared new Uttar Pradesh Chief Minister Yogi Adityanath to ban liquor and set up an ""anti-daru squad"" on the lines of the much hyped anti-romeo squad."
Jawan killed in accident saves lives by donating 6 organs,Two people got eyes and one patient at AIIMS received the heart.
Firefighter revives dog rescued from fire by performing CPR,"Nalu had been ""overcome by heat and smoke,"" the Santa Monica Fire Department said in a statement.Klein, a fireman from the Santa Monica Fire Department, did not give up."
EC transfers Chennai commissioner ahead of RK Nagar by-polls,"Chennai Police Commissioner Sebastian George has been transferred out of the city ahead of by-polls in former Chief Minister Jayalalithaa's constituency, Tamil media reports said on Saturday.This development comes after the Dravida Munnetra Kazhagam (DMK), the leading Opposition party in the the Tamil Nadu Assembly, told the Election Commission that the police commissioner might act in a way that favoured the ruling party - the All India Anna Dravida Munnetra Kazhagam (AIADMK) - and asked that he be transferred, Puthiya Thalaimurai (PT) reported.The poll panel has said a new commissioner of police will be appointed soon, the news channel tweeted.RK NAGAR TO GO ON POLLS ON APRIL 12Jayalalithaa's constituency, Chennai's Dr Radhakrishnan (RK) Nagar, will elect a new MLA on April 12.With the polls just around the corner, as many as 127 nominations were filed on Friday, Thanthi TV reported.82 of those nominations, including those of DMK candidatate Maruthu Ganesh, and rival AIADMK candidates E Madhusudhanan and TTV Dinakaran, were accepted, the channel said.Madhusudhanan, a former Presidium Chairman, represents a faction of the AIADMK represented by former Chief Minister O Panneerselvam."
Jammu and Kashmir govt exempts teachers from poll duties ,The Jammu and Kashmir government has decided to say goodbye to the practice of asking government teachers to be part of election duties.
Manipur government ends interviews for junior level posts,"""The cabinet decided to discontinue the stage of interview in direct recruitment for junior level posts in all departments under Manipur government with immediate effect, "" an official statement said."
India refuses to accept US' list of 271 'illegal' immigrants,"'NO CHANGE IN US POLICIES'Addressing the concerns expressed by some Rajya Sabha MPs, Sushma said it would not be correct to say that there has been a change in the US policies after the Trump administration has come to power.Several members expressed concern over the effects of the steps being taken by the Donald Trump administration on Indian citizens including skilled professionals living there.Referring to skilled workers, Swaraj said regarding H1B and L1 visas for professionals, four bills have come to the US Congress but they have not been passed.PROFESSIONALS VS ILLEGAL MIGRANTSShe said the government was engaging with the US at the highest level to ensure that the interests of Indian people or the IT industry are not affected."
Will scrap Residential House Tax if we win MCD: Kejriwal,Delhi chief minister Arvind Kejriwal promised on Saturday to abolish residential house tax in the Capital if his party is voted to power in the upcoming city civic polls.Kejriwal said the Aam Aadmi Party has worked out the mathematics and the money saved from corruption would be used to cover the shortfall after scrapping the house tax.Municipal elections in Delhi are due on April 23 and the AAP is contesting the polls for the first time.
Lay clear guidelines for anti-Romeo squads: CM Adityanath,"In the first meeting with ministers of state and senior officials of departments held by him, the chief minister also stressed on blanket ban on illegal mining saying that there were adverse reports about some districts."
Bill to increase Parliament sittings to 100 days tabled,"Gujral has tabled a private member's Bill, the Parliament Enhancement of Productivity Bill, asking for Parliament to must meet at least for 100 days a year.The Bill could not have come at a more opportune moment."
Maharashtra doctors call off their strike after meeting CM,"Fadnavis told IMA representatives that more security has been provided in 16 hospitals since Thursday, and the government will make more arrangements in next 10 days.Fadnavis, who on Thursday appealed resident doctors to call off their strike, had said in the Assembly today that 'enough was enough' and that continuing the strike despite assurances was totally insensitive."
800 surgeries postponed in Delhi after doctors' mass leave,"More than 20,000 resident doctors in the national capital on Thursday went on mass casual leave in solidarity with their Maharashtra counterparts, leading to postponement of over 800 surgeries across Delhi government and civic body-run hospitals, and also left thousands of patients in the lurch with OPD functions hit.Resident doctors in Delhi went on mass casual leave in solidarity with a similar move by their Maharashtra counterparts over rising cases of assault on doctors by patients?"
Govt slams New York Times for criticising Yogi as UP CM,"The wisdom in doubting the verdicts of genuine democratic exercises, at home or abroad, is questionable,"" External Affairs Ministry Spokesperson Gopal Baglay."
12-year-old Kerala boy said to be India's youngest father,"Doctors believe that the boy could have a medical condition called ""precocious puberty"" which make the child attain puberty earlier in age.The identities of the young parents and the baby are being kept secret as per the POCSO Act."
Who is the Shiv Sena MP who hit an Air India staffer?,"This incident, or the Maharashtra Sadan episode, was not Gaikwad's first run-in with the law.As per his affidavit filed ahead of the 2014 General Elections, Gaikwad has three criminal cases against him."
Cops fire shots in Punjab jail over violence among prisoners,"Meanwhile, the district police headquarters ordered all the 13 SHOs to reach Gurdaspur jail with heavy force."
Sex is important at every stage: Twinkle Khanna,"The reason I, sexism, continue to rule is because I have  pitched your fight as men vs women--you getting your rights seems like men losing theirs,"" Sexism.READ STORY | An open letter to sexism by Swara BhaskarWATCH VIDEO | India Today Summit 2017: Swara Bhaskar reads out a letter to SexismSession 11: From Head To Toe | That Healing FeelingModerated by Avantika JoshiREAD STORY | The only way out is within, believe these therapists Session 10: Armed And Hilarious | The Legend Of Mrs FunnybonesModerated by Koel PurieREAD STORY | Sex is always important: Twinkle KhannaSession 9: Boss Women | Shattering StereotypesModerated by Shweta PunjThe one stereotype you've had to battle..."
I have no equation or relationship with Irrfan: Nawazuddin,"The two have acted together in films like Paan Singh Tomar and Lunchbox, but their relationship is strictly professional, Nawazuddin said."
"At one point, I felt dizzy when Mira was in labour: Shahid","""It's nice to say 'we' were pregnant, because it gives you a sense of participation and responsibility,"" he said, adding that even though it was his wife who was in labour, he felt it too."
"Sushant Singh Rajput, Kriti Sanon end relationship: Reports",Sushant parted ways with his longtime girlfriend Ankita Lokhande right before diving into the relationship with Kriti Sanon.
'Cheap Thrills' singer Sia spotted without her wig,"Los Angeles, Mar 24 (PTI) Sia was recently photographed without her wig while she was on her way to Dubai."
Anushka Sharma's 'Phillauri' hits the theatres,"As long as Kanan and Shashi are together on screen, for the most part, Phillauri is interesting."
22-year-old Rahat Khan arrested for FB post on UP CM Yogi,"A 22-year-old youth was arrested by the Greater Noida police on Thursday for allegedly posting objectionable content against newly elected Uttar Pradesh chief minister Yogi Adityanath on his Facebook wall.A complaint was lodged against accused Rahat Khan by members of the Hindu Yuva Vahini, a youth group founded by Adityanath, in Dankaur police station on Thursday evening.Acting on the complaint, the police nabbed Khan, who runs a Jan Suvidha Kendra (public utility center) in Dankaur."
Mom gets call from school after kid takes vodka for lunch,"The mother realised the blunder but thankfully she did not get in trouble since the teachers assumed it was a genuine mistake of a five-year-old.Embarrassed and simultaneously realising the hilarity of the incident, the woman made a Facebook post about it, calling it an EPIC LUNCHBOX FAIL."
"Mulayam's younger son, daughter-in-law meet CM Adityanath",Samajwadi Party patriarch Mulayam Singh Yadav's younger daughter-in-law Aparna Yadav met Uttar Pradesh Chief Minister Yogi Adityanath along with her husband Prateek Yadav in Lucknow today.
Nawaz Sharif celebrated Holi to appease Indian govt: JuD,Jamat-ud-Dawa acting chief Hafiz Abdul Rehman Makki on Thursday said that Prime Minister Nawaz Sharif celebrated Hindu festival 'Holi' to please the Indian government.
"Extradition request for Mallya, 9 others pending in UK: Govt","Govt New Delhi, Mar 23 (PTI) Ten requests by India for extradition of fugitive criminals including Vijay Mallya, who is facing charges of loan default to the tune of nearly Rs 9,000 crore, are pending with the UK, the government said today."
B'luru man who was caught on CCTV stealing lingerie arrested,"After rounding off nearly all the Bangalore Turf Club employees who were living close to the premises in sheds, the police identified a few individuals who looked like the suspect in the CCTV footage.During the questioning, the police found out that one of the men has a very peculiar behaviour and that there were complaints that he would slip out in the idle of the night .Finally, the police identified Abu Taleem who confessed that he would wear the undergarments and later discard them only to go around stealing more.Taleem had devised quite a strategy to go about his obsession."
'Neem-beer-tree' in Delhi University gives out free liquor,But only one tree is giving out the sap ?
"Cops rescue woman, daughter locked up in house for 4 years","However, when the police went to their house, the women told them that they were living inside out of choice."
India should lower tariffs on Harley-Davidson motorbikes: US,"""If India agrees to lower its tariffs on Harley Davidson motorcycles, Indian consumers will buy more Harleys and save less while Harley will sell more Harleys and invest more,"" Peter Navarro, Director of White House National Trade Council, said in a letter to the editor to The Wall Street Journal."
I wish Kangana gets along with co-stars in future: Shahid,"The film that Shahid and Kangana starred in and which was the beginning of all the drama, Rangoon, has sunk into oblivion."
Kangana Ranaut has directed a short English film,Bollywood actor Kangana Ranaut is surely one talented woman.
UP CM Yogi makes surprise visit to Hazratganj police station,The BJP fought the election in Uttar Pradesh on the development plank and promised to improve the law and order situation in the state.THE THREE ISSUES YOGI ADITYANATH DISCUSSED:#Chief Minister Yogi Adityanath said women police officers should be provided better accommodation facilities.
New Alzheimer's test can predict when disease will appear,"The test was then used to accurately predict an individual's risk of getting the disease in an independent patient cohort.In people with the high-risk version of ApoE, those ranked in the top 10% of risk on the new test got Alzheimer's at an average age of 84 years, compared with 95 years for those ranked in the lowest 10%.James Pickett, head of research at Alzheimer's Society, said: ?Preventing the development of dementia symptoms is the holy grail of Alzheimer's research but to succeed we first need accurate methods to predict who is most likely to develop the condition."
May change Sidhu's ministry if he continues TV work: Singh,"Navjot Singh Sidhu's ministry will have to be changed if he wants to continue working in TV, Punjab Chief Minister Captain Amarinder Singh said today."
Resume work or lose 6 months' salary: Govt to Maha doctors,"Agitating doctors in Maharashtra have been asked to resume work by 8 pm today or risk losing six months' worth of salary, state minister for medical education Girish Mahajan said today."
Woman forced to drink acid by ex-boyfriend in Delhi,"For the last one week, Ravi had allegedly been confronting Muskan in the street close to her home when she would walk to her workplace."
2.0 director apologises over attack on journalists by crew,"""According to reports, journalists have withdrawn a complaint filed against the film's production manager, a bouncer and Shankar's nephew.It all started when Ranganathan, a photojournalist, had questioned the crew members for shooting on broad daylight, when the permission was given only between 11pm and 6am."
"Chinese man caught with 1,000 diamonds hidden in shoes","When they removed his insoles, they found several bags of sparkling diamonds.According to customs at Luohu port, diamonds have been found in the socks and snack food packages of other smugglers."
Robert Downey Jr to star as 'Doctor Dolittle' in new film,"Los Angeles, Mar 21 (PTI) Actor Robert Downey Jr is set to play the lead role in the new ""Doctor Dolittle"" movie."
"If Yogi is UP CM, Dawood can be CBI Director, tweets Shirish","""Even though Yogi Adityanath's appointment as the chief minister of Uttar Pradesh has raised several eyebrows, Shirish Kunder's tweets were not spared."
Remove word 'Aam' from government hoardings: Delhi EC,A Delhi Bharatiya Janata Party delegation on Monday had met State Election Commissioner and made efforts towards the removal of words 'Aam Aadmi' from government-run schemes.The delegation led by Gupta said that AAP should not be allowed to use its official position while campaigning.
Delhi: CCTV captures man crushing puppies under car wheels,"Some Good Samaritans, who had been feeding these puppies in the colony, filed a complaint at the Vasant Kunj North Police Station."
Hudco gets Sebi approval to raise funds through IPO,"New Delhi, Mar 22 (PTI) State-run Hudco has received capital markets regulator Sebis approval to raise funds through an initial share sale as part of the governments disinvestment drive."
Pakistan cricket going through tough times: Pak captain,"Pakistan's new ODI and T20 captain Sarfaraz Ahmad avoided speaking on the PSL spot-fixing scandal, which has rocked the cricket community, but admitted that the country's cricket was going through tough times.Terming the coming series in the West Indies as a big challenge for Pakistan cricket, the wicketkeeper-batsman told the media on the eve of the team's departure for the Caribbean that the first target was to win the three match ODI series and qualify directly for the next World Cup."
Muslims too voted for you: Yogi Adityanath's father to him,"That has to be kept in mind,"" Bisht said.MY GOVT WILL WORK FOR ALL: YOGI ADITYANATH Speaking in Lok Sabha on Tuesday, the Uttar Pradesh chief minister vowed to work for development of all sections by creating a ""new structure"" of progress."
"Why no action against BJP, Congress over foreign funding: HC","The Delhi high court on Tuesday sought the Centre's reply on a contempt plea alleging the government failed to act against political parties, including the Congress and BJP, for allegedly accepting donations from foreign companies despite a 2014 court direction.On March 28, 2014, the high court had ordered the Election Commission (EC) and the home ministry to look into the accounts of the Congress and BJP for traces of foreign funds and take action within six months.The court had found both parties flouting the norms of the Foreign Contribution (Regulation) Act (FCR) by accepting donations from Indian subsidiaries of UK-based Vedanta Resources."
2 sentenced to life imprisonment in Ajmer dargah blast case,The National Investigation Agency (NIA) special court in Jaipur today sentenced Devendra Gupta and Bhavesh Patel to life in jail in the Ajmer blast case.Â  The two were convicted along with Sunil Joshi on March 6.
"I didn't want this job, wife made me do it: US State Secy","Rex Tillerson has said he did not want to be US secretary of state and only took the job because his wife convinced him to do it.The former ExxonMobil oil executive revealed his initial reluctance in an interview published after a controversial trip to Asia and hours before the biggest event of his two months at the state department, an international meeting on Wednesday about how to fight Islamic State (Isis)."
India have run out of ideas to dismiss Steve Smith: Chappell,Former Australian captain Ian Chappell feels India have run out of ideas to dismiss Steve Smith in the ongoing Test series against the men from down under.
Kangana to start Rani Laxmibai biopic on b'day: Reports,"According to a report in Mid-Day, Kangana and Ketan have fallen out, and the actor has chosen another director for the biopic."
BJP MLA's posters in UP mention Deoband as Deovrind,"While Deoband is known for its historical significance and Darul Uloom Deoband has been a centre of Islamic learning since the Mughal era, Brijesh Singh had demanded that the city be renamed Deovrind after BJP came into power."
UP Police orders to constitute anti-Romeo squad in Lucknow,"Lucknow, Mar 21 (PTI) The Uttar Pradesh police today issued orders to constitute ""anti-Romeo squad"" in 11 districts of the Lucknow zone to prevent eve-teasing, as BJP had promised during the Assembly polls in its sankalp patra."
RSS slams TMC-led WB govt over decline in Hindu population,"Coimbatore, Mar 21 (PTI) The RSS today expressed concern over the growing Jehadi activities and the declining Hindu population in West Bengal and and urged the people to create awareness against the state governments communal politics."
MP witnessed deaths of 28K kids below 6 yrs of age in 2016,"More than 28,000 children aged less than six years have died in Madhya Pradesh in the past one year due to malnourishment and diseases resulting from it.The state women and child welfare department while accepting that children died because of disease resulting from malnourishment refuses to attribute even a single death to malnourishment.Women and child welfare department minister Archana Chitnis read out an answer to a question raised by Ram Niwas Rawat of the Congress in the ongoing budget session of the Assembly in which she accepted that 28948 children had died in the state in the past one year."
Axis Bank denies reports of CEO Shikha Sharma's resignation,"New Delhi, Mar 22 (PTI) Private sector lender Axis Bank today said its MD & CEO Shikha Sharma is not resigning."
Waitlisted passengers can now take next alternative train,Railways is launching a new scheme from April as part of which wait-listed passengers can get confirmed accommodation in the next alternative train if they opt for the same while booking their tickets.
Dhanbad's ex-Deputy Mayor killed in indiscriminate firing,WHAT HAPPENEDDhanbad's former deputy mayor Neeraj Singh along with his friend Ashok Singh was returning home in his SUV.
Join work or face action: Bombay HC to protesting doctors,"Although Chief Justice Chellur did not believe this situation was due to the strike but the government pleader, appearing for the state government, told the court that the health care in civic and state-run hospitals was paralysed due to 60 per cent of its workforce not reporting to work.Advocate Prashant Pophale appearing for the Maharashtra Association for Resident Doctors (MARD) pointed out that there have been three incidents wherein patients' relatives have beaten up doctors in Dhule, Mumbai (Sion Hospital) and Nashik in the last few days.WHY THE PUBLIC ANARCHY, ASKS CHIEF JUSTICE CHELLUR Chief Justice Chellur asked, ""Why the public anarchy?"
Phogat sisters to campaign for BJP in Delhi civic polls,"The Municipal Corporation of Delhi (MCD) polls are scheduled to take place on April 22, and the BJP, which has been ruling the MCD for over a decade, has planned an aggressive campaign to take on its rivals.Besides the Congress, the BJP will also face challenge from Arvind Kejriwal's the Aam Aadmi Party (AAP) which is contesting the MCD polls for the first time."
Jadeja has started to come out of Ashwin's shadow: Ganguly,"Ashwin has 250 Test wickets, ahead of everyone, and is the fastest to the mark, but Jadeja in this series has taken the responsibility."
Salman pays ?44 cr as Bollywood's highest advance tax payer,"But the one who has surprised the Income Tax (IT) department is comedian-actor Kapil Sharma, whose income has shot up by almost 206 per cent in just one year.Indiatoday.in has an exclusive data of advance tax paid by top ten actors till March 15, 2017 which clearly shows that Salman Khan is the highest paid actor in the Indian film industry."
Why no deposit window for old notes after Dec 31: SC to Govt,"The apex court bench, headed by Chief Justice Jagdish Singh Khekar, gave the Central government and the Reserve Bank of India two weeks' time to reply to the notice."
Nizamuddin clerics who went missing in Pak return to India,"Asif Nizami, the head priest, and his nephew Nazim Nizami  had gone on pilgrimage to Pakistan on March 8."
India include Mohammed Shami in the squad for final Test,"I've not spoken to selectors but all kinds of possibility approaching the next Test,"" Kohli said.The four-match series currently stands 1-1 after Australia stunned India by 333 runs in the opening Test in Pune before Kohli's men bounced back beautifully to win the second Test in Bengaluru by 75 runs to level the series."
Khalistan Commando Force member wanted in 75 cases arrested,"Ranjan said that Babla was wanted by the special cell, Delhi Police's anti-terror squad, in a case when he had escaped from the custody of the Punjab police while being produced at the Tis Hazari Court in Delhi in 2004."
Global terrorism fast reaching nuclear threshold: Dalai Lama,"Talking to India Today about the question raised by China on his Arunachal Pradesh visit, Dalai Lama said he goes there to spread the message of peace and co-existence and China can come and see what he preaches there."
Dutt suffers hairline rib fracture at shoot of fight scene,"When the doctors conducted an X-ray post the shoot, it was confirmed that the actor had a hairline rib fracture.Even though Sanjay has been advised to rest, he has continued shooting, taking rest only during breaks.Producer Sandeep Singh said, ""We were shooting the climax scene in the Chambal ravines and Sanjay was in an action sequence when he hurt himself in the rib cage."
Kohli has become the Donald Trump of world sport: Aus media,"If I was to do anything, (I was inferring) he did a pretty terrific job to get Virat back on the field after that shoulder,"" Smith said.DRS SAGAThe Kohli-Smith quarrel started in Bengaluru over a DRS incident when the Australian captain was caught seeking help from his team's dressing room over a review after he was trapped leg before by Umesh Yadav.While Smith called it a ""brain fade"", Kohli warned the visitors of ""crossing the line""."
"I might take Ashwin's advice and hit him on head, says Starc",The ongoing four-Test series between India and Australia has been acrimonious with players from both sides trading verbal blows but Australian pacer Mitchell Starc's latest comments could send relations between the two teams spiralling down further.
Cong poster offers ?5L reward for finding Prashant Kishor,He was handpicked by Congress vice-president Rahul Gandhi and Priyanka Gandhi Vadra to manage the Uttar Pradesh Assembly elections.
The rules of the Censor Board need to be revisited: Anupam,"Anupam Kher is known to have voiced his opinions on a series of issues, from the Kashmir unrest to demonetisation."
Why do passports have four primary colours?,"The Vice President of Marketing at Arton Capital--a firm that headlines ""interactive passport database, Passport Index,"" believes that while essentially the colours are limited, nations experiment with the hues of these four primary shades that can be attributed to ""many possible scenarios."
SBI to shut down 47% of associate banks' offices post merger,"Three head offices of the associate banks will be unbound along with 27 zonal offices, 81 regional offices and 11 network offices of the associate banks,"" SBI Managing Director Dinesh Kumar Khara told IANS in an interview."
Give Yogi Adityanath at least 6 months: SP leader Ram Gopal,Samajwadi Party leader and former chief minister Akhilesh Yadav's uncle Ram Gopal Yadav said one should give Yogi Adityanath at least six months to start work and deliver on the BJP's promises to people in Uttar Pradesh.
Swaraj requests safety of Indian woman ill-treated in Pak,"Swaraj on Monday said that the Indian High Commission had met the woman in Pakistan and was ensuring her safety and return to India.The external affairs minister posted on Twitter that she received a YouTube message from Mohammad Akbar about his daughter Mohammadia Begum who was being ill-treated by her in-laws.She tweeted, ""Our mission sent a Note Verbale requesting the safety, security and well-being of Mohammadia Begum."""
BJP will have to perform role of Oppn as well: Uma Bharti,Union Minister for Water Recourses Uma Bharti on Monday sais that the ruling Bhartiya Janta Party will have to stay alert and on a continuous vigil as there was no Opposition in the country.
Gopal Ansal surrenders in Uphaar fire tragedy case,"A bench headed by Justice Gogoi, in a 2:1 majority verdict on February 9, had granted relief to 76-year-old Sushil Ansal considering age-related complications by awarding him the jail term already undergone and had asked Gopal to surrender in four weeks to serve the remaining jail term."
I would marry Shah Rukh as I love his bungalow: Karan Johar,"Shah Rukh Khan, Karan Johar and Alia Bhatt made sure they spiced up Day 2 of the India Today Conclave 2017 in the best way possible."
Kamal Haasan posts message on elder brother's demise,"Chandrahasan is the younger brother of Charuhasan.Condoling his death, Kamal took to Twitter and wrote a heartwarming post."
BSP leader Mohammed Shami shot dead in Allahabad,"After the incident, locals and supporters of Shami reportedly held a protest.The incident took place hours after Yogi Adityanath in his swearing-in ceremony as Uttar Pradesh CM vowed to improve the law and order situation in the state.WHO WAS MOHAMMED SHAMIShami was a history-sheeter of Mau Aima police station."
Jaipur hotel sealed after complain of beef being served,"Over 100 cow vigilantes protested outside Hotel Hayat Rabbani in Jaipur on Sunday night alleging beef was cooked and served there.Komal Didi, a cow vigilante from the Gaurakasha Dal, led the demonstration and had a heated argument with the hotel staff claiming that they are serving beef."
Big B pens blogpost after demise of Aishwarya Rai's father,"Taking to Twitter, he wrote, ""Death has but one end, and words cannot define it."
RSS had no role in Yogi Adityanath's appointment: Naidu,"The BJP today dismissed reports that the RSS had anything to do with the selection of hardliner Yogi Adityanath as the Uttar Pradesh Chief Minister and said it is unfair to criticise the decision without giving the Gorakhpur MP a ""fair opportunity"" to govern."
I fear I may not be welcome in Trump's US: Stephen Hawking,"?On British politics, Hawking said he felt a ?hard Brexit?"
Completion of Delhi-Meerut expressway delayed again,"With just one year left for completing the project, the highway authority is not yet done with the bidding process for the second construction package covering 30 km.According to a top official in NHAI, there are four bidders for the construction the expressway but the final allotment for the construction is not decided yet.The delay in completion of the bidding process for the package II led to delay in construction."
